,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
20,robinsnewswire,"Flying the web for trusted world news reports and shopping discounts 24/7. Retweeting for opinions, useful information, and the many voices of Twitter.",RT's Are FYI Purposes Only,16579,23817,1984844,0,"""50-Pieces Fidget Toys Set only $21.56: eDeal Info"" #Amazon #Ebay #Walmart #Discounts #Coupons #Deals: https://t.co/Br8wYLPZpS","['Amazon', 'Ebay', 'Walmart', 'Discounts', 'Coupons', 'Deals']"
21,robinsnewswire,"Flying the web for trusted world news reports and shopping discounts 24/7. Retweeting for opinions, useful information, and the many voices of Twitter.",RT's Are FYI Purposes Only,16579,23817,1984844,0,"""ASOGO Floor Mop with a Refillable Spray Bottle and 3 Washable Pads only $13.99: eDeal Info"" #Amazon #Ebay #Walmart #Discounts #Coupons #Deals: https://t.co/Hhk2tiFvTb","['Amazon', 'Ebay', 'Walmart', 'Discounts', 'Coupons', 'Deals']"
22,robinsnewswire,"Flying the web for trusted world news reports and shopping discounts 24/7. Retweeting for opinions, useful information, and the many voices of Twitter.",RT's Are FYI Purposes Only,16579,23817,1984844,0,"""SmileMart Adjustable Ergonomic Gaming Chair with Footrest Backrest only $115.00: eDeal Info"" #Amazon #Ebay #Walmart #Discounts #Coupons #Deals: https://t.co/P7a3Dp6xe0","['Amazon', 'Ebay', 'Walmart', 'Discounts', 'Coupons', 'Deals']"
23,ppcsemseo,"All things PPC, SEM and SEO!",,1238,964,88127,0,"RT @ChartoftheDay_: Among US adults, 16% pay for a Walmart+ membership. Those subscribers skew younger: 23% of 18- to 34-year-olds pay for the premium, versus just 10% of those ages 55 to 65. https://t.co/SCzyxFtUza
#walmart #retail https://t.co/xg7ZFvVfpW","['walmart', 'retail']"
24,EricStoffle,"I write thrillers and more. The Trespass is a mystery featuring dogged former detective Joe Rampone and his partner, Jamie Kelly. No holds barred!",,10657,20953,198407,2,Thank you to our thousands of fabulous #CaptainsPoint readers. We love YOU!!! 5***** reviews! https://t.co/bcOb2Lt8Cr #amwriting #amreading #HEA #romance #saga #Kindle #Audible #iTunes #Kobo #Walmart #Nook #BookBoost #TW4RW #wowbooks #SWRTG #TW4RW #authorRT ♥ https://t.co/swt2YwXhTC,['CaptainsPoint']
25,USAhotdeal1,Customer service provider,New York ,476,173,997,0,"Energizer Jumper Cables for Car Battery, Heavy Duty Automotive Booster Cables for Jump Starting Dead or Weak Batteries with Carrying Bag Included (16-Feet (6-Gauge)

buy link &gt;&gt; https://t.co/DPLbeyyzoa

#Amazon #walmart #eBay #google #Apple #NFL #book #USA #HardikPandya","['Amazon', 'walmart', 'eBay', 'google', 'Apple', 'NFL', 'book', 'USA', 'HardikPandya']"
26,CrazyFuckingVid,Follow for tons of crazy videos and also if you love watching crazy videos 🤪✌️,,1,45,343,0,#Customer harasses #Walmart employee till she has a breakdown ...#PublicFreakout https://t.co/2WRKgFHPZO,"['Customer', 'Walmart', 'PublicFreakout']"
27,USAhotdeal1,Customer service provider,New York ,476,173,997,0,"Bosch ICON 26A Wiper Blade, Up to 40% Longer Life* - 26"" (Pack of 1)

buy link &gt;&gt; https://t.co/GYNcTD6dLD

#Amazon #walmart #Apple #eBay #google #book #USA #NFTCommunity #NFL","['Amazon', 'walmart', 'Apple', 'eBay', 'google', 'book', 'USA', 'NFTCommunity', 'NFL']"
28,USAhotdeal1,Customer service provider,New York ,476,173,997,0,"TORRAS Magnetic Designed for iPhone 14 Pro Case, [Military Grade Drop Tested] [Compatible with MagSafe] Slim Protective Translucent Matte Case Compatible for iPhone 14 Pro Case
buy link &gt;&gt; https://t.co/CXF1SiZnlE

#Amazon #walmart #eBay #google #Apple #NFTCommunity #USA #book","['Amazon', 'walmart', 'eBay', 'google', 'Apple', 'NFTCommunity', 'USA', 'book']"
29,IntelInsider,"Unlocking digital opportunities with the world’s most trusted forecasts, analysis, and benchmarks.",,190,20379,15804,3,"Among US adults, 16% pay for a Walmart+ membership. Those subscribers skew younger: 23% of 18- to 34-year-olds pay for the premium, versus just 10% of those ages 55 to 65. https://t.co/JwTCSzDpWb
#walmart #retail https://t.co/YzWW3mpsA6",[]
30,USAhotdeal1,Customer service provider,New York ,476,173,997,0,"MOTIUM OEM QUALITY Premium All-Season Windshield Wiper Blades (22""+22"" pair for front windshield)

buy link &gt;&gt; https://t.co/5dqRKfjogH

#Amazon #AmazonPrime #walmart #Apple #book #USA #google #NFL #Japan","['Amazon', 'AmazonPrime', 'walmart', 'Apple', 'book', 'USA', 'google', 'NFL', 'Japan']"
31,USAhotdeal1,Customer service provider,New York ,476,173,997,0,"Battery Tender Junior 12V Charger and Maintainer: Automatic 12V Powersports Battery Charger and Maintainer for Motorcycle

buy link &gt;&gt; https://t.co/UgfUcfxp7f

#Amazon #AmazonPrime #walmart #google #Apple #NFL #book #USA #BBNajia7 #Japan","['Amazon', 'AmazonPrime', 'walmart', 'google', 'Apple', 'NFL', 'book', 'USA', 'BBNajia7', 'Japan']"
32,Ankit729456381,"Digital Marketing Specialist, Startup Passionate, Strategy Maker, Researcher, Passionate for Online Marketing, Consultant & Freelancer. That's all about myself.",United States,131,75,2313,3,"Among US adults, 16% pay for a Walmart+ membership. Those subscribers skew younger: 23% of 18- to 34-year-olds pay for the premium, versus just 10% of those ages 55 to 65. https://t.co/JwTCSzDpWb
#walmart #retail https://t.co/YzWW3mpsA6",[]
33,YogiYarntail,A traveller on the evolutionary roads of life. Adding colour and contextual ideas to the otherwise monochrome world in which many prefer to live contained.,,5001,1831,50789,1,"One of my #bestseller #designs #FieldofSummerGlory  By #Yogiyarntailandme @ #Spoonflower is also #forsale on #Etsy #Amazon #Ebay and #Walmart

https://t.co/Yune8eCbhP

https://t.co/EwGSjlg9oI

https://t.co/zz2P1vCvwG

https://t.co/irRh1hloRh https://t.co/zHkcu5Fu6J","['bestseller', 'designs', 'FieldofSummerGlory', 'Yogiyarntailandme', 'Spoonflower', 'forsale', 'Etsy']"
34,USAhotdeal1,Customer service provider,New York ,476,173,997,0,"CERAKOTE Ceramic Headlight Restoration Kit – Guaranteed to Last As Long As You Own Your Vehicle – Brings Headlights Back to Like New Condition - 3

buy link &gt;&gt; https://t.co/TVXpEmXrXW

#Amazon #AmazonPrime #walmart #google #Apple #NFL #USA #book #BBNajia7","['Amazon', 'AmazonPrime', 'walmart', 'google', 'Apple', 'NFL', 'USA', 'book', 'BBNajia7']"
35,eMarketer,"eMarketer and Business Insider Intelligence are now Insider Intelligence, the research authority on digital transformation.
@IntelInsider","New York, NY",2458,290265,31815,3,"Among US adults, 16% pay for a Walmart+ membership. Those subscribers skew younger: 23% of 18- to 34-year-olds pay for the premium, versus just 10% of those ages 55 to 65. https://t.co/JwTCSzDpWb
#walmart #retail https://t.co/YzWW3mpsA6",[]
36,Ommyonet,"A New age of economy by building the first mover on this new realm. 

Just open today for register! 👇🏼",,58,3451,225,0,"Flipkart introduces metaverse buying experience with Flipverse!

Read the complete article-

https://t.co/4VW8EhdPQb

#FlipkartBigBillionDays #Flipkart #flipverse #ecommerce #Metaverse #metaverseproject #ommyonews #shoppingonline #VirtualReality #walmart","['FlipkartBigBillionDays', 'Flipkart', 'flipverse', 'ecommerce', 'Metaverse', 'metaverseproject', 'ommyonews', 'shoppingonline', 'VirtualReality', 'walmart']"
37,USAhotdeal1,Customer service provider,New York ,476,173,997,0,"GOOACC 240PCS Bumper Retainer Clips Car Plastic Rivets Fasteners Push Retainer Kit Most Popular Sizes Auto Push Pin Rivets Set -Door Trim Panel Fender Clips for GM Ford Toyota Honda Chrysler

buy link&gt;&gt; https://t.co/qM1X2WQqeU

#Amazon #walmart #Apple #google #NFL #USA #book","['Amazon', 'walmart', 'Apple', 'google', 'NFL', 'USA', 'book']"
38,promoSpricedrop,"We participate in Amazon Services LLC Associates Program, and   EPN,LS,CJ  IR ,and may earn a commission on any qualifying purchases at no cost to you. #coupon",Northern Kentucky,4232,11905,252869,0,"❗❗ #RollBack ❗❗ 
🔗https://t.co/A6QM44z66q
✅Let us know if you scored it
⏰Limited time offer🚫No Promo-code/product guarantee
👉As an Affiliate I earn from qualifying purchases
(ad)#deal #sale #walmart https://t.co/1xJ5kwppyd","['RollBack', 'deal', 'sale', 'walmart']"
39,IBRA_SALLAM88,"Twitter for me is to publish my opinions to the unknown people freely without any barriers or judgment. I'm a big fan of Philly teams, so as Real Madrid & MCI",USA,2875,2417,34199,0,"@fluffyguy it was a beautiful night in Reading, PA. We enjoyed seeing you and hearing your jokes. Hope to see you again soon ❤️💯

Just tiny tip to Martin and Alfredo, please tell them as a friend to change thier 'repeated jokes' about #Walmart and his old mom smh, just boring ..",['Walmart']
40,DaisyClover20,"I love Jesus and Justice ⚖️🦋Bring home the missing🦋 🎗Protect the childen🛑Stop DV
#JaneEllensTears 

🇮🇱 🇺🇦",🇺🇸,611,322,5755,3,"#JaxonTruitt and #AdrianaTruitt are missing from #Hampton #Virginia since 10/16/22 when they were taken from the #Walmart by their Non Custodial Father #TimothyTruitt. 

Hampton Police Division
757-727-6111
Crime Line
888-LOCK-UP

Please #Help and #Share 
#missingchildren #BOLO https://t.co/HsUwbVIoRT https://t.co/joBChhQ3xb","['JaxonTruitt', 'AdrianaTruitt', 'Hampton', 'Virginia']"
41,8thandWalton,"A Bentonville, Arkansas based supplier education company focused solely on supporting Wal-Mart suppliers","Bentonville, Arkansas",2202,2488,12638,0,"The next #Walmart Accounting, Invoicing &amp; Deductions class is happening Oct. 20. Click for class details and to reserve your spot! #accounting #retail
https://t.co/zZ2rW0IkqZ https://t.co/WhNLbR60dl","['Walmart', 'accounting', 'retail']"
42,SupplyPike,"Retail data is hard. It doesn’t have to be. Our cloud software helps you see and do more with your Walmart data, so you can grow your business.","Arkansas, USA",115,154,711,0,"Want to learn more about disputing #OTIF fines? 🧠

Join us Thursday, October 20th at 11:00 AM CT as we discuss disputing OTIF fines with your buyer and in HighRadius.

Reserve your spot👇
https://t.co/HKfUHIjp7W

#Walmart #suppliers #OnTime #InFull","['OTIF', 'Walmart', 'suppliers', 'OnTime', 'InFull']"
43,KcAllen76921449,Big heart do g cross me tho,,1,0,20,0,Walmart https://t.co/shVYMN0WMo #Walmart,['Walmart']
44,DebraBouchard10,Country girl,,94,21,960,7,"#JaxonTruitt and #AdrianaTruitt are missing from #Hampton #Virginia since 10/16/22 when they were taken from the #Walmart by their Non Custodial Father #TimothyTruitt. 

Hampton Police Division
757-727-6111
Crime Line
888-LOCK-UP

Please #Help and #Share 
#missingchildren #BOLO https://t.co/vKZ22tiyP4","['JaxonTruitt', 'AdrianaTruitt', 'Hampton', 'Virginia', 'Walmart']"
45,BookRecommende2,I love all Authors in the world💓 Etc. I aim to encourage Readers to read more books. Feel free to tag us #Buildlibraries #SupportWriters  #WritingCommunity,Global,0,2397,58474,1,Love is a journey. https://t.co/SK3GGbsLvL Isn’t it time YOU journeyed to #CaptainsPoint – Top in their categories - 5***** reviews! #SmallTown #Romance #Saga #Kindle #Audible #Kobo #Walmart #Nook #BookBoost #SWRTG #authorRT ♥ https://t.co/SW1rshQ7fm,['CaptainsPoint']
46,Badass_Reads,,United States,82,803,90774,2,Parisian Ghosts by @CharlotteKent20 https://t.co/ibUMSMYOZh Past events &amp; strange sightings haunt a postponed honeymoon! #CaptainsPoint #Romance #Ghosts #Kobo #Nook #Walmart #Audible #iTunes #BookBlast #SNRTG #TW4RW #authorRT ♥ https://t.co/XCpZAEVQE6,[]
47,BookRecommende2,I love all Authors in the world💓 Etc. I aim to encourage Readers to read more books. Feel free to tag us #Buildlibraries #SupportWriters  #WritingCommunity,Global,0,2397,58474,1,"A Clue for Adrianna: Small town, beach, great guys–what’s not to like, right? https://t.co/SK3GGbsLvL It doesn’t get better than #CaptainsPoint #Romance #Audible #iTunes #Kobo #Nook #Walmart #Bookplugs #SWRTG #MustRead #authorRT ♥ https://t.co/vhydCCAUfP",[]
48,Glenda37241419,He will cover you with his feathers. He will shelter you with his wings. His faithful promises are your armor and protection. Psalms 91:4,,1398,1884,91645,3,"#JaxonTruitt and #AdrianaTruitt are missing from #Hampton #Virginia since 10/16/22 when they were taken from the #Walmart by their Non Custodial Father #TimothyTruitt. 

Hampton Police Division
757-727-6111
Crime Line
888-LOCK-UP

Please #Help and #Share 
#missingchildren #BOLO https://t.co/HsUwbVIoRT https://t.co/joBChhQ3xb","['JaxonTruitt', 'AdrianaTruitt', 'Hampton', 'Virginia']"
49,BookRecommende2,I love all Authors in the world💓 Etc. I aim to encourage Readers to read more books. Feel free to tag us #Buildlibraries #SupportWriters  #WritingCommunity,Global,0,2397,58474,1,It’s cheaper to travel to Captain’s Point than anywhere else in the world! https://t.co/8Ypkw8Sgxv No passport needed! 5***** reviewed. #SmallTown #Romance #saga #HEA #Kindle #Kobo #Nook #Walmart #BookBoost #SWRTG #IARTG #TW4RW ♥ https://t.co/fRurHOiuCm,[]
50,BookRecommende2,I love all Authors in the world💓 Etc. I aim to encourage Readers to read more books. Feel free to tag us #Buildlibraries #SupportWriters  #WritingCommunity,Global,0,2397,58474,2,Parisian Ghosts by @CharlotteKent20 https://t.co/ibUMSMYOZh Past events &amp; strange sightings haunt a postponed honeymoon! #CaptainsPoint #Romance #Ghosts #Kobo #Nook #Walmart #Audible #iTunes #BookBlast #SNRTG #TW4RW #authorRT ♥ https://t.co/XCpZAEVQE6,[]
51,BookRecommende2,I love all Authors in the world💓 Etc. I aim to encourage Readers to read more books. Feel free to tag us #Buildlibraries #SupportWriters  #WritingCommunity,Global,0,2397,58474,2,Thank you to our thousands of fabulous #CaptainsPoint readers. We love YOU!!! 5***** reviews! https://t.co/bcOb2Lt8Cr #amwriting #amreading #HEA #romance #saga #Kindle #Audible #iTunes #Kobo #Walmart #Nook #BookBoost #TW4RW #wowbooks #SWRTG #TW4RW #authorRT ♥ https://t.co/swt2YwXhTC,['CaptainsPoint']
52,robertstanek,"Dad. Husband. Writer for 35 years. Author of 250+ books pubd by Pearson, Macmillan, McGraw Hill, O'Reilly, Microsoft & more. Visit: https://t.co/i1sBRhPV90 360studios.",In a wee house in Bugville,1414,69857,7882,0,"A #celebration of #art and #books

#Walmart https://t.co/CL3ANhP2K7
#BN https://t.co/0ML7CnOlMW
#Play https://t.co/Iq7DSWhWda
#iTunes https://t.co/NbrhslyYFA
#Amazon https://t.co/YjanSBZnVB

#twitterbooks #googlebooks #lareviewofbooks #latimesbooks #powells #nytimesbooks https://t.co/ECVsZzkSpm","['celebration', 'art', 'books', 'Walmart', 'BN', 'Play', 'iTunes', 'Amazon', 'twitterbooks', 'googlebooks', 'lareviewofbooks', 'latimesbooks', 'powells', 'nytimesbooks']"
53,mommaof_5,mom of 5.   autism mom... awareness acceptance advocate,"Delta, British Columbia",924,145,12708,3,"#JaxonTruitt and #AdrianaTruitt are missing from #Hampton #Virginia since 10/16/22 when they were taken from the #Walmart by their Non Custodial Father #TimothyTruitt. 

Hampton Police Division
757-727-6111
Crime Line
888-LOCK-UP

Please #Help and #Share 
#missingchildren #BOLO https://t.co/HsUwbVIoRT https://t.co/joBChhQ3xb","['JaxonTruitt', 'AdrianaTruitt', 'Hampton', 'Virginia']"
54,BBM1208,Married Mom of 2 #HailState 🐶🐾Stay in your lane.,"Mississippi, USA",222,78,6290,7,"#JaxonTruitt and #AdrianaTruitt are missing from #Hampton #Virginia since 10/16/22 when they were taken from the #Walmart by their Non Custodial Father #TimothyTruitt. 

Hampton Police Division
757-727-6111
Crime Line
888-LOCK-UP

Please #Help and #Share 
#missingchildren #BOLO https://t.co/vKZ22tiyP4","['JaxonTruitt', 'AdrianaTruitt', 'Hampton', 'Virginia', 'Walmart']"
55,TrueCrimeSister,Missing person awareness team & non-profit organization ‘Voice For The Voiceless’ - 501c3 ➡️ @AwarenessTCS 💙❤️🧡💛 https://t.co/N6Id5bkgRk,,163,3279,5670,3,"#JaxonTruitt and #AdrianaTruitt are missing from #Hampton #Virginia since 10/16/22 when they were taken from the #Walmart by their Non Custodial Father #TimothyTruitt. 

Hampton Police Division
757-727-6111
Crime Line
888-LOCK-UP

Please #Help and #Share 
#missingchildren #BOLO https://t.co/HsUwbVIoRT https://t.co/joBChhQ3xb","['JaxonTruitt', 'AdrianaTruitt', 'Hampton', 'Virginia', 'Walmart', 'TimothyTruitt', 'Help', 'Share', 'missingchildren', 'BOLO']"
56,YogiYarntail,A traveller on the evolutionary roads of life. Adding colour and contextual ideas to the otherwise monochrome world in which many prefer to live contained.,,5001,1831,50789,1,"One of my #bestseller #designs #FieldofSummerGlory  By #Yogiyarntailandme @ #Spoonflower is also #forsale on #Etsy #Amazon #Ebay and #Walmart

https://t.co/Yune8eCbhP

https://t.co/EwGSjlg9oI

https://t.co/zz2P1vCvwG

https://t.co/irRh1hloRh https://t.co/zHkcu5Fu6J","['bestseller', 'designs', 'FieldofSummerGlory', 'Yogiyarntailandme', 'Spoonflower', 'forsale', 'Etsy', 'Amazon', 'Ebay', 'Walmart']"
57,jancesmom,My son was diagnosed having a brain tumor in May of this year. he has not been in touch with family or friends since June 1st. We are extremely worried.,United States,449,234,834,7,"#JaxonTruitt and #AdrianaTruitt are missing from #Hampton #Virginia since 10/16/22 when they were taken from the #Walmart by their Non Custodial Father #TimothyTruitt. 

Hampton Police Division
757-727-6111
Crime Line
888-LOCK-UP

Please #Help and #Share 
#missingchildren #BOLO https://t.co/vKZ22tiyP4","['JaxonTruitt', 'AdrianaTruitt', 'Hampton', 'Virginia', 'Walmart']"
58,WalmartSellers,Reach more. Sell better. Walmart Marketplace is one of the fastest-growing eCommerce platforms in the U.S. Not a seller yet? Visit our website and join today!,San Bruno,0,157,14,0,"Discover how Walmart Marketplace can help your business grow this holiday season. Tune into our recent webinar for strategic tips: https://t.co/JTk0V2pwWc

#Walmart #WalmartMarketplace #Marketplace #Youtube #Webinar #eCommerce #Holiday #Season #Strategies","['Walmart', 'WalmartMarketplace', 'Marketplace', 'Youtube', 'Webinar', 'eCommerce', 'Holiday', 'Season', 'Strategies']"
59,CharlotteKent20,Pseudonym used by @Annie_Acorn and @JulietteHill1 for their Captain’s Point #romance #novel #womensfiction #familysaga series http://t.co/WMYV8qDVbp,,23921,26275,228553,2,Thank you to our thousands of fabulous #CaptainsPoint readers. We love YOU!!! 5***** reviews! https://t.co/bcOb2Lt8Cr #amwriting #amreading #HEA #romance #saga #Kindle #Audible #iTunes #Kobo #Walmart #Nook #BookBoost #TW4RW #wowbooks #SWRTG #TW4RW #authorRT ♥ https://t.co/swt2YwXhTC,"['CaptainsPoint', 'amwriting', 'amreading', 'HEA', 'romance', 'saga', 'Kindle', 'Audible', 'iTunes', 'Kobo', 'Walmart', 'Nook', 'BookBoost', 'TW4RW', 'wowbooks', 'SWRTG', 'TW4RW', 'authorRT']"
60,arain4you,,"Karachi, Pakistan",337,24,680,3,"We are grateful for all the brands who gave a helping hand in the times of crisis. Thank you @Walmart for your support.

#HANDSPakistan #Walmart #FloodsInPakistan #Floods2022 https://t.co/yDRjw74OtE",[]
61,CharlotteKent20,Pseudonym used by @Annie_Acorn and @JulietteHill1 for their Captain’s Point #romance #novel #womensfiction #familysaga series http://t.co/WMYV8qDVbp,,23921,26275,228553,2,Parisian Ghosts by @CharlotteKent20 https://t.co/ibUMSMYOZh Past events &amp; strange sightings haunt a postponed honeymoon! #CaptainsPoint #Romance #Ghosts #Kobo #Nook #Walmart #Audible #iTunes #BookBlast #SNRTG #TW4RW #authorRT ♥ https://t.co/XCpZAEVQE6,"['CaptainsPoint', 'Romance', 'Ghosts', 'Kobo', 'Nook', 'Walmart', 'Audible', 'iTunes', 'BookBlast', 'SNRTG', 'TW4RW', 'authorRT']"
